date,league,home,away,home_odds,away_odds,prediction,confidence,result,h_score,a_score
FT,Süper Lig,Kayserispor,Kocaelispor,9.09,1.06,💎 KASA: MS 2 [STAKE %21.9],0,won,1,2
FT,BSL,Petkim Spor,Türk Telekom B.K.,3.35,1.29,💎 KASA: MS 2 [STAKE %13.2],0,lost,86,77
FT,ACB,Joventut Badalona,Valencia Basket,2.7,1.45,💎 KASA: MS 2 [STAKE %10.7],0,lost,90,87
FT,Pro A,Limoges CSP,Cholet Basket,2.22,1.59,💎 KASA: MS 2 [STAKE %6.8],0,won,70,78
FT,Pro A,Élan Chalon,Monaco Basket,2.3,1.55,💎 KASA: MS 2 [STAKE %7.8],0,won,78,92
FT,BBL,MLP Academics Heidelberg,Bayern München,5.25,1.15,💎 KASA: MS 2 [STAKE %16.7],0,won,63,106
FT,Süper Lig,Kayserispor,Kocaelispor,9.09,1.06,💎 KASA: MS 2 [STAKE %21.9],0,won,1,2
FT,BSL,Petkim Spor,Türk Telekom B.K.,3.35,1.29,💎 KASA: MS 2 [STAKE %13.2],0,lost,86,77
FT,ACB,Joventut Badalona,Valencia Basket,2.7,1.45,💎 KASA: MS 2 [STAKE %10.7],0,lost,90,87
FT,Pro A,Limoges CSP,Cholet Basket,2.22,1.59,💎 KASA: MS 2 [STAKE %6.8],0,won,70,78
FT,Pro A,Élan Chalon,Monaco Basket,2.3,1.55,💎 KASA: MS 2 [STAKE %7.8],0,won,78,92
FT,BBL,MLP Academics Heidelberg,Bayern München,5.25,1.15,💎 KASA: MS 2 [STAKE %16.7],0,won,63,106
