date,league,home,away,home_odds,away_odds,prediction,confidence,result,h_score,a_score
FT,Premier League,Crystal Palace,Chelsea,2.84,1.43,MS 2 [STAKE %11.9],0,won,1,3
FT,Premier League,West Ham United,Sunderland,3.98,1.25,🔥 BANKO: MS 2 [STAKE %17.0],0,lost,3,1
FT,Premier League,Burnley,Tottenham Hotspur,6.64,1.11,💎 KASA: MS 2 [STAKE %20.6],0,lost,2,2
FT,Premier League,AFC Bournemouth,Liverpool,2.84,1.43,MS 2 [STAKE %11.9],0,lost,3,2
FT,La Liga,Girona,Getafe,3.03,1.39,MS 2 [STAKE %13.1],0,lost,1,1
FT,La Liga,Barcelona,Real Oviedo,1.07,8.7,💎 KASA: MS 1,89,won,3,0
FT,La Liga,Alavés,Real Betis,3.03,1.39,MS 2 [STAKE %13.1],0,lost,2,1
FT,La Liga,Rayo Vallecano,Osasuna,3.64,1.29,MS 2 [STAKE %15.7],0,won,1,3
FT,La Liga,Valencia,Espanyol,3.64,1.29,MS 2 [STAKE %15.7],0,lost,3,2
FT,Bundesliga,Borussia Mönchengladbach,VfB Stuttgart,3.29,1.34,MS 2 [STAKE %14.6],0,won,0,3
FT,Bundesliga,1. FC Heidenheim 1846,RB Leipzig,5.48,1.15,🔥 BANKO: MS 2 [STAKE %19.5],0,won,0,3
FT,Bundesliga,Bayern Munich,FC Augsburg,1.05,12.0,💎 KASA: MS 1,92,lost,1,2
FT,Bundesliga,Mainz,VfL Wolfsburg,5.48,1.15,🔥 BANKO: MS 2 [STAKE %19.5],0,lost,3,1
FT,Bundesliga,1. FC Union Berlin,Borussia Dortmund,2.74,1.46,MS 2 [STAKE %11.2],0,won,0,3
FT,Serie A,Hellas Verona,Udinese,9.52,1.06,💎 KASA: MS 2 [STAKE %22.2],0,won,1,3
FT,Serie A,Genoa,Bologna,3.81,1.27,🔥 BANKO: MS 2 [STAKE %16.5],0,lost,3,2
FT,Serie A,Fiorentina,Cagliari,6.35,1.12,💎 KASA: MS 2 [STAKE %20.5],0,won,1,2
FT,Serie A,Lecce,Lazio,4.76,1.19,🔥 BANKO: MS 2 [STAKE %18.7],0,lost,0,0
FT,Ligue 1,Nantes,Nice,5.48,1.15,🔥 BANKO: MS 2 [STAKE %19.5],0,won,1,4
FT,Ligue 1,Brest,Toulouse,2.74,1.46,MS 2 [STAKE %11.2],0,won,0,2
FT,Ligue 1,Metz,Lyon,5.48,1.15,🔥 BANKO: MS 2 [STAKE %19.5],0,won,2,5
FT,Ligue 1,Paris FC,Angers,3.29,1.34,MS 2 [STAKE %14.6],0,lost,0,0
FT,Ligue 1,Le Havre AC,AS Monaco,4.11,1.24,🔥 BANKO: MS 2 [STAKE %17.1],0,lost,0,0
FT,Süper Lig,Eyupspor,Besiktas,5.48,1.15,🔥 BANKO: MS 2 [STAKE %19.5],0,lost,2,2
FT,Süper Lig,Gaziantep FK,Konyaspor,2.74,1.46,MS 2 [STAKE %11.2],0,lost,1,1
FT,Süper Lig,Antalyaspor,Genclerbirligi,3.29,1.34,MS 2 [STAKE %14.6],0,lost,2,1
FT,Süper Lig,Caykur Rizespor,Alanyaspor,4.11,1.24,🔥 BANKO: MS 2 [STAKE %17.1],0,lost,1,1
FT,Süper Lig,Kayserispor,Istanbul Basaksehir,8.23,1.08,💎 KASA: MS 2 [STAKE %21.6],0,won,0,3
FT,Süper Lig,Samsunspor,Kocaelispor,2.74,1.46,MS 2 [STAKE %11.2],0,lost,0,0
FT,Süper Lig,Fatih Karagümrük,Galatasaray,8.23,1.08,💎 KASA: MS 2 [STAKE %21.6],0,won,1,3
Bitti,NBA,Pistons,Kings,1.15,5.44,🔥 BANKO: MS 1,82,won,139,116
Bitti,NBA,Thunder,Raptors,1.1,7.11,💎 KASA: MS 1,86,lost,101,103
FT,Premier League,Burnley,Tottenham Hotspur,6.64,1.11,MS 2 [STAKE %16.2],0,lost,2,2
FT,La Liga,Atlético Madrid,Mallorca,1.4,2.99,🔥 BANKO: MS 1 [STAKE %5.8],0,won,3,0
FT,La Liga,Barcelona,Real Oviedo,1.07,8.7,💎 KASA: MS 1 [STAKE %21.2],0,won,3,0
FT,La Liga,Real Sociedad,Celta Vigo,2.6,1.5,MS 2 [STAKE %14.0],0,lost,3,1
FT,La Liga,Sevilla,Athletic Club,2.6,1.5,MS 2 [STAKE %14.0],0,lost,2,1
FT,La Liga,Villarreal,Real Madrid,1.33,3.34,🔥 BANKO: MS 1 [STAKE %5.9],0,lost,0,2
FT,Bundesliga,Borussia Mönchengladbach,VfB Stuttgart,3.29,1.34,🔥 BANKO: MS 2 [STAKE %18.2],0,won,0,3
FT,Bundesliga,SC Freiburg,FC Cologne,2.35,1.6,MS 2 [STAKE %11.5],0,lost,2,1
FT,Bundesliga,Bayer Leverkusen,Werder Bremen,1.56,2.45,MS 1 [STAKE %4.8],0,won,1,0
FT,Bundesliga,Bayern Munich,FC Augsburg,1.05,12.0,🔥 BANKO: MS 1,77,lost,1,2
FT,Bundesliga,Eintracht Frankfurt,TSG Hoffenheim,2.35,1.6,MS 2 [STAKE %11.5],0,won,1,3
FT,Bundesliga,1. FC Union Berlin,Borussia Dortmund,2.74,1.46,🔥 BANKO: MS 2 [STAKE %15.2],0,won,0,3
FT,Serie A,Hellas Verona,Udinese,9.52,1.06,💎 KASA: MS 2 [STAKE %25.0],0,won,1,3
FT,Serie A,Fiorentina,Cagliari,6.35,1.12,💎 KASA: MS 2 [STAKE %23.5],0,won,1,2
FT,Serie A,Lecce,Lazio,4.76,1.19,MS 2 [STAKE %13.9],0,lost,0,0
FT,Ligue 1,Nantes,Nice,5.48,1.15,💎 KASA: MS 2 [STAKE %22.6],0,won,1,4
FT,Ligue 1,Brest,Toulouse,2.74,1.46,🔥 BANKO: MS 2 [STAKE %15.2],0,won,0,2
FT,Ligue 1,Metz,Lyon,5.48,1.15,💎 KASA: MS 2 [STAKE %22.6],0,won,2,5
FT,Ligue 1,Lille,Strasbourg,1.65,2.26,MS 1 [STAKE %4.1],0,lost,1,4
